id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
17,"Insights into the potential mechanism of Beiqishen Jiangtang Granule in the treatment of type 2 diabetes nephropathy: A study based on network pharmacology, molecular docking, and biological validation","Pan M, Wang P, Wang X, Wang Z, Zhang Z, Yang K, Liu W, Ma W, Liu X.",2026,,10.1097/MD.0000000000047533,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
18,Spectroscopy based analysis of rice residue driven by microbial decomposition and nitrogen management under zero till wheat in Northern India,"Khedwal RS, Singh J, Kalia A, Singh KB, Singh R, Singh I, Preet A.",2026,,10.1038/s41598-025-25793-9,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
19,Supernatants from DNase-deficient Prevotella intermedia strains enhance oral squamous cell carcinoma cell migration and invasion by activating inflammatory and epithelial-mesenchymal transition pathways,"Seto-Tetsuo F, Katase N, Sasaki Y, Yukitake H, Naito M.",2026,,10.1016/j.bbrc.2026.153304,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
20,Multi-omics analysis: Gut microbial metabolites in ovarian lesions,"Yinghong L, Xiaojuan Y, Xiaojuan Y.",2026,,10.1177/03000605261416737,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
21,Comprehensive 16s rRNA sequencing and metabolomics to investigate the effect of anticancer bioactive peptides combined with oxaliplatin on gastric cancer,"Xu Y, Wang L, Wu S, Xie J, Han W, Wen J, Wang Y, Su X.",2026,,10.1038/s41598-025-18830-0,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
22,Modulation of Moisturizing and Barrier Related Molecular Markers by Extracellular Vesicles Derived from Leuconostoc mesenteroides DB-21 Isolated from Camellia japonica Flower,"Baek J, Cho S, Lee G, Ki H, Kim SY, Choi GM, Kim JH, Kim JW, Park CM, Kim SY, Choi BM, Choi YG.",2025,,10.3390/cimb47121022,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
23,Altered acetate metabolism and signaling in IgA nephropathy: an integrated gut microbiome and glomerular spatial transcriptome analysis,"Koh JH, Park S, Kang M, Park JI, Lee J, Cho H, Kim JE, Nam H, Kim D, Li M, Park S, Moon KC, Kim HJ, Kim YS, Kim DK, Lee H.",2026,,10.3389/fimmu.2025.1665585,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
24,A Multiomic Approach Integrating Genomic and Metabolomic Data Highlights Colorectal Cancer Pathways,"Iliou A, Chekmeneva E, Pinto RC, Koukouzeli FE, Ntounias Y, Georgakopoulou K, Pouliou M, Agelopoulos M, Tsilidis KK, Gunter MJ, Elliott P, Griffin JL, Dehghan A, Klinakis A, Mikros E, Tzoulaki I.",2026,,10.1021/acs.jproteome.5c00459,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
25,MicrobeDiscover: A Knowledge Graph-Enabled AI Framework for Identifying Microbes for Inorganic Nanomaterial Biosynthesis,"Wang L, Han H, Liu Y, Ning Z, Ma Y, Wang H, Xu J, Huang Q, Cui W, Zhou Y, Gao Y, Wang B, Du Y.",2026,,10.1002/advs.202520587,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
26,In Vitro Evaluation and Network Pharmacology Analysis of the Antimicrobial Activity of Pistacia lentiscus,"Ganeshkumar A, Sabarish R, Shakir N, Sankar DS, Franklin AJ, Gandhi N, Kumar K, Abu Hasna A.",2026,,10.1155/ijod/6981413,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
27,"ACE2 expression by colonic epithelial cells is associated with viral infection, immunity, and energy metabolism","Qi Y, Huang Y, Chen H, Li J, Liu M, Xiong W, Tang Q, Zhang Y.",2026,,10.1038/s41598-026-36052-w,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
28,Microbiome-linked transcriptomic signatures in NMIBC: Toward personalized uro-oncology,"Das M, Rath S, Gorepatti R, Dash R, Akella A, Gaur AS, Venugopal G, Khan ZH, Ramadass B, Nayak P.",2026,,10.1016/j.urolonc.2025.12.013,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
29,Application of AI for the functional elucidation of rice associated microbial community for the improved productivity,"Joyce J, K PV, K J, K RE.",2026,,10.1007/s13205-025-04665-z,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
